Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
Pays-de-Galles;Josh NAVIDI;3ème_ligne;30;185;105
Pays-de-Galles;Justin TIPURIC;3ème_ligne;31;188;107
Pays-de-Galles;Ken OWENS;Talonneur;34;185;109
Pays-de-Galles;Kieran HARDY;Mêlée;25;183;87
Pays-de-Galles;Leigh HALFPENNY;Arrière;32;178;85
Pays-de-Galles;Leon BROWN;Pilier;24;191;126
Pays-de-Galles;Liam WILLIAMS;Arrière;29;188;88
Pays-de-Galles;Lloyd WILLIAMS;Mêlée;31;183;88
Pays-de-Galles;Louis REES-ZAMMIT;Ailier;20;190;88
Pays-de-Galles;Nick TOMPKINS;Centre;25;182;93
Pays-de-Galles;Nicky SMITH;Pilier;26;183;114
Pays-de-Galles;Owen WATKIN;Centre;24;188;112
Pays-de-Galles;Rhodri JONES;Pilier;29;191;120
Pays-de-Galles;Rhys CARRÉ;Pilier;23;191;132
Pays-de-Galles;Rhys PATCHELL;Ouverture;27;191;93
Pays-de-Galles;Rhys WEBB;Mêlée;32;183;93
Pays-de-Galles;Ryan ELIAS;Talonneur;26;187;110
Pays-de-Galles;Sam PARRY;Talonneur;29;186;114
Pays-de-Galles;Samson LEE;Pilier;28;180;115
Pays-de-Galles;Seb DAVIES;2ème_ligne;24;198;118
Pays-de-Galles;Shane LEWIS-HUGHES;3ème_ligne;23;193;113
Pays-de-Galles;Toby FALETAU;3ème_ligne;30;188;111
Pays-de-Galles;Tomas FRANCIS;Pilier;28;186;135
Pays-de-Galles;Tomos WILLIAMS;Mêlée;26;178;77
Pays-de-Galles;Will ROWLANDS;2ème_ligne;29;203;123
Pays-de-Galles;Wyn JONES;Pilier;28;184;114
